AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLL_body
4,-10,0,20,0.058291494
8,-10,0,20,0.078568216
12,-10,0,20,0.094562082
16,-10,0,20,0.106156881
20,-10,0,20,0.130016553
30,-10,0,20,0.070988012
45,-10,0,20,0.054167729
-4,-10,0,-10,-0.007180506
0,-10,0,-10,0.009647002
4,-10,0,-10,0.02635376
8,-10,0,-10,0.045752843
12,-10,0,-10,0.066066742
16,-10,0,-10,0.081237814
20,-10,0,-10,0.103155637
30,-10,0,-10,0.024596173
45,-10,0,-10,0.049751744
-4,-10,0,-20,-0.014524885
0,-10,0,-20,0.000952253
4,-10,0,-20,0.018070198
8,-10,0,-20,0.039500807
12,-10,0,-20,0.061253298
16,-10,0,-20,0.080078079
20,-10,0,-20,0.099045853
30,-10,0,-20,0.009887909
45,-10,0,-20,0.047264091
-4,-10,10,0,-0.000503552
0,-10,10,0,0.016634936
4,-10,10,0,0.03401325
8,-10,10,0,0.054920162
12,-10,10,0,0.074811323
16,-10,10,0,0.090362166
20,-10,10,0,0.108193356
30,-10,10,0,0.005301611
45,-10,10,0,0.049303223
-4,-10,10,10,0.01015741
0,-10,10,10,0.027774995
4,-10,10,10,0.045904532
8,-10,10,10,0.067975232
12,-10,10,10,0.086572497
16,-10,10,10,0.096625116
20,-10,10,10,0.112693589
30,-10,10,10,0.009969299
45,-10,10,10,0.050851985
-4,-10,10,20,0.018277681
0,-10,10,20,0.034533239
4,-10,10,20,0.053115341
8,-10,10,20,0.073615579
12,-10,10,20,0.093078475
16,-10,10,20,0.108306902
20,-10,10,20,0.125116923
30,-10,10,20,0.015649776
45,-10,10,20,0.052578268
-4,-10,10,-10,-0.005728321
0,-10,10,-10,0.009821889
4,-10,10,-10,0.027889945
8,-10,10,-10,0.048603881
12,-10,10,-10,0.068057241
16,-10,10,-10,0.08523534
20,-10,10,-10,0.105412723
30,-10,10,-10,-0.003154127
45,-10,10,-10,0.047868801
-4,-10,10,-20,-0.012992478
0,-10,10,-20,0.003400487
4,-10,10,-20,0.021552016
8,-10,10,-20,0.043165547
12,-10,10,-20,0.064281088
16,-10,10,-20,0.082113533
20,-10,10,-20,0.096495408
30,-10,10,-20,-0.00483064
45,-10,10,-20,0.046648199
-4,-10,20,0,0.001496296
0,-10,20,0,0.020128849
4,-10,20,0,0.037867251
8,-10,20,0,0.059476889
12,-10,20,0,0.082370983
16,-10,20,0,0.104389038
20,-10,20,0,0.119747178
30,-10,20,0,-0.003566399
45,-10,20,0,0.048455738
-4,-10,20,10,0.010493831
0,-10,20,10,0.029049195
4,-10,20,10,0.047914926
8,-10,20,10,0.072119239
