AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLM_body
0,-10,-20,10,0.171997076
4,-10,-20,10,0.119478945
8,-10,-20,10,0.087799063
12,-10,-20,10,0.083117191
16,-10,-20,10,0.106256482
20,-10,-20,10,0.115930773
30,-10,-20,10,0.055552104
45,-10,-20,10,0.046294227
-4,-10,-20,20,0.254748852
0,-10,-20,20,0.198756039
4,-10,-20,20,0.147191667
8,-10,-20,20,0.12103815
12,-10,-20,20,0.113352923
16,-10,-20,20,0.127231812
20,-10,-20,20,0.125332159
30,-10,-20,20,0.065236632
45,-10,-20,20,0.039307431
-4,-10,-20,-10,0.211597877
0,-10,-20,-10,0.170763435
4,-10,-20,-10,0.132221191
8,-10,-20,-10,0.104032368
12,-10,-20,-10,0.086752922
16,-10,-20,-10,0.081194153
20,-10,-20,-10,0.072582066
30,-10,-20,-10,0.05152942
45,-10,-20,-10,0.045461729
-4,-10,-20,-20,0.21378386
0,-10,-20,-20,0.172699482
4,-10,-20,-20,0.130925778
8,-10,-20,-20,0.102820975
12,-10,-20,-20,0.08979066
16,-10,-20,-20,0.081660271
20,-10,-20,-20,0.070986897
30,-10,-20,-20,0.050162437
45,-10,-20,-20,0.036248126
-4,-20,0,0,0.135272556
0,-20,0,0,0.097862879
4,-20,0,0,0.063943365
8,-20,0,0,0.030993377
12,-20,0,0,-0.001757824
16,-20,0,0,0.010554983
20,-20,0,0,-0.038525148
30,-20,0,0,-0.120992948
45,-20,0,0,-0.009415755
-4,-20,0,10,0.164313176
0,-20,0,10,0.114537159
4,-20,0,10,0.074382955
8,-20,0,10,0.04525999
12,-20,0,10,0.018333007
16,-20,0,10,0.042108721
20,-20,0,10,-0.024024645
30,-20,0,10,-0.117876231
45,-20,0,10,-0.010115838
-4,-20,0,20,0.179607199
0,-20,0,20,0.130677156
4,-20,0,20,0.08955967
8,-20,0,20,0.060003485
12,-20,0,20,0.039359616
16,-20,0,20,0.046086067
20,-20,0,20,-0.02332386
30,-20,0,20,-0.126039078
45,-20,0,20,-0.017732821
-4,-20,0,-10,0.089250618
0,-20,0,-10,0.075947699
4,-20,0,-10,0.047373787
8,-20,0,-10,0.019151708
12,-20,0,-10,-0.007801827
16,-20,0,-10,-0.020194589
20,-20,0,-10,-0.050077938
30,-20,0,-10,-0.038364511
45,-20,0,-10,-0.022303578
-4,-20,0,-20,0.096797959
0,-20,0,-20,0.071054178
4,-20,0,-20,0.050474829
8,-20,0,-20,0.037626051
12,-20,0,-20,0.011396504
16,-20,0,-20,-0.006240789
20,-20,0,-20,-0.046687671
30,-20,0,-20,-0.063098481
45,-20,0,-20,-0.02183699
-4,-20,10,0,0.056165709
0,-20,10,0,0.032501073
4,-20,10,0,-0.009553868
8,-20,10,0,-0.052139106
12,-20,10,0,-0.095002816
16,-20,10,0,-0.081270286
20,-20,10,0,-0.113123522
30,-20,10,0,-0.104877128
45,-20,10,0,-0.053487615
-4,-20,10,10,0.071286448
0,-20,10,10,0.042979092
4,-20,10,10,-0.000161956
